"dog_id","hs_cancer_locations_adrenal_gland","hs_cancer_locations_anal_sac","hs_cancer_locations_bladder_or_urethra","hs_cancer_locations_blood","hs_cancer_locations_bone_or_joint","hs_cancer_locations_brain","hs_cancer_locations_cardiac_tissue","hs_cancer_locations_ear","hs_cancer_locations_esophagus","hs_cancer_locations_eye","hs_cancer_locations_gallbladder_or_bile_duct","hs_cancer_locations_gastrointestinal_tract","hs_cancer_locations_kidney","hs_cancer_locations_liver","hs_cancer_locations_lung","hs_cancer_locations_lymph_nodes","hs_cancer_locations_mammary_tissue","hs_cancer_locations_muscle_or_soft_tissue","hs_cancer_locations_nerve_sheath","hs_cancer_locations_nose_or_nasal_passage","hs_cancer_locations_oral_cavity","hs_cancer_locations_other","hs_cancer_locations_other_description","hs_cancer_locations_ovary_or_uterus","hs_cancer_locations_pancreas","hs_cancer_locations_perianal_area","hs_cancer_locations_pituitary_gland","hs_cancer_locations_prostate","hs_cancer_locations_rectum","hs_cancer_locations_skin_of_limb_or_foot","hs_cancer_locations_skin_of_trunk_body_head","hs_cancer_locations_spinal_cord","hs_cancer_locations_spleen","hs_cancer_locations_testicle","hs_cancer_locations_thyroid","hs_cancer_locations_unknown","hs_cancer_locations_venereal","hs_cancer_types_adenocarcinoma","hs_cancer_types_adenoma","hs_cancer_types_basal_cell_tumor","hs_cancer_types_carcinoma","hs_cancer_types_chondrosarcoma","hs_cancer_types_cystadenoma","hs_cancer_types_epidermoid_cyst","hs_cancer_types_epulides","hs_cancer_types_fibrosarcoma","hs_cancer_types_hemangioma","hs_cancer_types_hemangiosarcoma","hs_cancer_types_histiocytic_sarcoma","hs_cancer_types_histiocytoma","hs_cancer_types_insulinoma","hs_cancer_types_leiomyoma","hs_cancer_types_leiomyosarcoma","hs_cancer_types_leukemia","hs_cancer_types_lipoma","hs_cancer_types_lymphoma_lymphosarcoma","hs_cancer_types_mast_cell_tumor","hs_cancer_types_melanoma","hs_cancer_types_meningioma","hs_cancer_types_multiple_myeloma","hs_cancer_types_osteosarcoma","hs_cancer_types_other","hs_cancer_types_other_description","hs_cancer_types_papilloma","hs_cancer_types_peripheral_nerve_sheath_tumor","hs_cancer_types_plasmacytoma","hs_cancer_types_rhabdomyosarcoma","hs_cancer_types_sarcoma","hs_cancer_types_sebaceous_adenoma","hs_cancer_types_soft_tissue_sarcoma","hs_cancer_types_squamous_cell_carcinoma","hs_cancer_types_thymoma","hs_cancer_types_transitional_cell_carcinoma","hs_cancer_types_unknown","hs_follow_up_ongoing","hs_initial_diagnosis_month","hs_initial_diagnosis_year","hs_leukemia_types_acute","hs_leukemia_types_chronic","hs_leukemia_types_other","hs_leukemia_types_unknown","hs_lymphoma_lymphosarcoma_types_b_cell","hs_lymphoma_lymphosarcoma_types_other","hs_lymphoma_lymphosarcoma_types_other_description","hs_lymphoma_lymphosarcoma_types_t_cell","hs_lymphoma_lymphosarcoma_types_t_zone","hs_lymphoma_lymphosarcoma_types_unknown","hs_required_surgery_or_hospitalization"
59510,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False",NA,"False","False","False","False","False","False","False","False","False","False","False","True",11,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
71226,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","False","False","False","False","False","False","False","False","False","True","False",6,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
39559,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False",NA,"False","False","False","False","False","False","False","False","False","False","False","False",1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
16124,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False",NA,"False","False","False","False","False","False","False","False","False","False","False","False",6,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
521,"False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","False","False","False","False","True","True","False","False","False","False","False",1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
64343,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False",NA,"False","False","False","False","False","False","False","False","False","False","False","True",12,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
18140,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","Biopsy report says SCMCT ( Subcutaneous mast cell tumors)","False","False","False","False","False","False","False","False","False","False","False","False",3,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
91994,"False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","False","False","False","True","False","False","False","False","False","False","False",1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
89362,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","False","False","False","False","False","False","False","False","False","False","True",10,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
26532,"False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False",NA,"False","False","False","False","False","False","False","False","False","False","False","True",12,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
9958,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"False","True","False","False","False","False","False","False","False","False","False","True",11,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
38056,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","Low grade mast call tumor on right lateral aspect of rib cage ","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False",NA,"False","False","False","False","False","False","False","False","False","False","False","True",6,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
